14:09:06:244 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
14:09:06:295 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
14:09:06:464 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
14:09:06:812 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** completed TC_002_verifyCenter********
14:19:16:296 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:19:16:299 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:19:20:111 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:19:20:128 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:22:57:571 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:22:57:575 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:23:00:776 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:23:00:792 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:28:44:612 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:28:44:615 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:28:48:282 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:28:59:663 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:30:53:380 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:30:53:382 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:30:56:739 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:31:47:569 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:31:47:573 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:31:53:244 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:34:48:709 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:34:48:713 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
